vaga,remuneracao,companhia,id,faixa_salarial,cidade
10 Vagas de Cumim,1400.0,Picanha E Cia,8068383,2,natal-rn
10 Vagas de Garçom,1700.0,Picanha E Cia,8068381,2,natal-rn
2 Vagas de Torneiro Mecânico,2000.0,Raiz Vedações,8235354,2,natal-rn
3 Vagas de Auxiliar de Cozinha,1300.0,Restaurante Cariri,8235350,2,natal-rn
Vaga de Vendedor Externo,1800.0,Nature Solar,6660726,2,natal-rn
6 Vagas de Instalador de Alarmes,1500.0,Guardião Engenharia De Segurança,6804844,2,natal-rn
2 Vagas de Sushiman,1800.0,Cardume Sushi,6969589,2,natal-rn
Vaga de Chefe de Cozinha,2200.0,Cardume Sushi,6969487,2,natal-rn
10 Vagas de Corretor de Imóveis,5000.0,Cf Negocios Imobiliárias Ltda.,6922661,5,natal-rn
Vaga de Analista Fiscal,2000.0,Quaesitor Auditoria E Assessoria Empresarial,6911556,2,natal-rn
Vaga de Instrutor de Ensino,2500.0,Vox2you,5865100,3,natal-rn
Vaga de Técnico de Enfermagem,1246.0,(Confidencial),8285402,2,natal-rn
Vaga de Trainee,3500.0,Moura Dubeux,8284626,4,natal-rn
Vaga de Auxiliar Administrativo,1246.0,"
    Ultra + Rh Consultoria
  ",8284521,2,natal-rn
Vaga de Vendedor Interno,1212.0,"
    Rh Ser Consultoria
  ",8284491,2,natal-rn
Vaga de Auxiliar de Escritório,1400.0,Me Da Silva De Andrade,8270116,2,natal-rn
2 Vagas de Estagiário,1560.0,Clinica Santa Barbara,8269965,2,natal-rn
Vaga de Técnico em Nutrição,2700.0,Esmeralda Praia Hotel,8266126,3,natal-rn
Vaga de Almoxarife,1357.4,Esmeralda Praia Hotel,8266113,2,natal-rn
Vaga de Auxiliar de Recursos Humanos,1357.4,Esmeralda Praia Hotel,8265691,2,natal-rn
Vaga de Auxiliar Financeiro,1300.0,Esmeralda Praia Hotel,8265626,2,natal-rn
Vaga de Supervisor de Loja,2000.0,(Confidencial),8265795,2,natal-rn
Vaga de Auxiliar de Loja,1100.0,(Confidencial),8265766,1,natal-rn
Vaga de Supervisor de Suprimentos,3500.0,(Confidencial),8265756,4,natal-rn
Vaga de Gerente de Vendas,3000.0,(Confidencial),8265748,3,natal-rn
Vaga de Gerente de Filial,2079.0,(Confidencial),8265725,2,natal-rn
Vaga de Motorista,2021.0,(Confidencial),8271939,2,natal-rn
Vaga de Servente de Obras,2000.0,(Confidencial),8271824,2,natal-rn
2 Vagas de Auxiliar de Sala,1550.0,Objetivo,8256753,2,natal-rn
Vaga de Mestre de Obras,2500.0,Wjx Construções E Serviços De Engenharia Ltda,7865327,3,joao-pessoa-pb
2 Vagas de Desenvolvedor JAVA,2000.0,Computação E Vendas,8265370,2,joao-pessoa-pb
Vaga de Vendedor,1185.0,Pmc Automotive,8265223,2,joao-pessoa-pb
Vaga de Impressor,4000.0,(Confidencial),8265784,4,joao-pessoa-pb
Vaga de Auxiliar de Impressão,1600.0,(Confidencial),8265776,2,joao-pessoa-pb
Vaga de Auxiliar de Impressão,1600.0,(Confidencial),8265752,2,joao-pessoa-pb
Vaga de Operador Mecânico,1600.0,Peag,8244920,2,joao-pessoa-pb
Vaga de Coordenador Comercial,3500.0,"
    Credcesta
  ",8255387,4,joao-pessoa-pb
Vaga de Gerente de Controladoria,10001.0,(Confidencial),8255061,6,joao-pessoa-pb
2 Vagas de Vendedor,1295.0,Nordife Mat Eletricos Ltda,8240957,2,joao-pessoa-pb
Vaga de Estagiário,550.0,(Confidencial),8250121,1,joao-pessoa-pb
Vaga de Analista de Logística,1800.0,(Confidencial),8240606,2,joao-pessoa-pb
5 Vagas de Operador de Empilhadeira,1352.46,Portela Distribuidora Ltda,8235539,2,joao-pessoa-pb
Vaga de Estagiário,800.0,(Confidencial),8244834,1,joao-pessoa-pb
Vaga de Desenvolvedor,6000.0,Heeds Technologies,8244737,6,joao-pessoa-pb
Vaga de Desenvolvedor,6000.0,Heeds Technologies,8244729,6,joao-pessoa-pb
Vaga de Representante Comercial,7000.0,Plm Auditoria E Consultoria Ltda,8233701,6,joao-pessoa-pb
Vaga de Assistente Administrativo,1481.0,(Confidencial),8243890,2,joao-pessoa-pb
Vaga de Estagiário,1000.0,Conte Rh,8232626,1,joao-pessoa-pb
Vaga de Vendedor Interno,2000.0,Empresa De Vendas,8231650,2,joao-pessoa-pb
Vaga de Auxiliar de Eletricista,1300.0,Telos Consultoria,8233107,2,joao-pessoa-pb
Vaga de Técnico Elétrico,1600.0,Telos Consultoria,8232868,2,joao-pessoa-pb
Vaga de Supervisor Elétrico,5385.0,Telos Consultoria,8232787,5,joao-pessoa-pb
Vaga de Gerente de Controladoria,10001.0,(Confidencial),8231284,6,joao-pessoa-pb
2 Vagas de Programador,3500.0,Datafort Telecomunicações E Serviços Ltda,8212521,4,joao-pessoa-pb
7 Vagas de Vendedor,2000.0,Empresa De Vendas,8203610,2,joao-pessoa-pb
Vaga de Analista de Logística,1800.0,(Confidencial),8202113,2,joao-pessoa-pb
Vaga de Vendedor Externo,2500.0,Unique Cosméticos,8257027,3,fortaleza-ce
Vaga de Pedreiro de Alvenaria,1698.04,Si Construcoes E Consultoria Eireli,8240859,2,fortaleza-ce
2 Vagas de Líder Administrativo,1779.54,Fábricainfo,8240145,2,fortaleza-ce
2 Vagas de Consultor Comercial,2000.0,Fábricainfo,8202804,2,fortaleza-ce
Vaga de Gerente Comercial,2700.0,Clínica De Quiropraxia,8104618,3,fortaleza-ce
Vaga de Cortador de Roupas,1450.0,Menina Virtuosa,6173008,2,fortaleza-ce
Vaga de Barbeiro,3000.0,Barbearia Navalhabrasil,5523177,3,fortaleza-ce
2 Vagas de Costureira,1400.0,Clora Ind. E Com. De Vestuário,2270342,2,fortaleza-ce
Vaga de Auxiliar de Cozinha,1122.0,Mrselecoes,7787189,2,fortaleza-ce
5 Vagas de Lavador de Carros,2500.0,Drive Clean,7774829,3,fortaleza-ce
Vaga de Auxiliar de Odontologia,1320.0,Pratique Mais Sorrisos,7739632,2,fortaleza-ce
Vaga de Motorista de Guincho,1600.0,Aguanambi Freios Ltda,7688087,2,fortaleza-ce
Vaga de Instalador de Alarmes,1600.0,Nobrex Connect,4475842,2,fortaleza-ce
2 Vagas de Torneiro Mecânico,2300.0,Eletrotecnica Mapurunga Ltda,7242351,3,fortaleza-ce
Vaga de Empacotador,1100.0,Conftec Tecnologia,5110035,1,fortaleza-ce
2 Vagas de Mecânico de Manutenção de Ar Condicionado,1000.0,Ecoar Refrigeração E Climatização De Ambientes Ltda,2379501,1,fortaleza-ce
2 Vagas de Mecânico de Ar Condicionado,1300.0,Ecoar Climatização,6587374,2,fortaleza-ce
8 Vagas de Vendedor Externo,1102.0,Euro Telecom,6363217,2,fortaleza-ce
Vaga de Ajudante de Carga e Descarga,1500.0,G T Logistica,6291468,2,fortaleza-ce
Vaga de Assistente Administrativo,1500.0,G T Logistica,6291111,2,fortaleza-ce
3 Vagas de Vendedor Externo,1100.0,Fala Consultoria,8289917,1,fortaleza-ce
Vaga de Caixa,1300.0,Electric Ink,8287221,2,fortaleza-ce
